Property Name,URI,Label,Domain,Range,Is Functional,Is Inverse Functional,Inverse Of,Sub-property Of (list),Comment
Definition_ownedPart,https://www.omg.org/spec/SysML#Definition_ownedPart,ownedPart,Definition,PartUsage,No,No,,Definition_ownedItem,<p>The <code>PartUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedPort,https://www.omg.org/spec/SysML#Definition_ownedPort,ownedPort,Definition,PortUsage,No,No,,Definition_ownedUsage,<p>The <code>PortUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedReference,https://www.omg.org/spec/SysML#Definition_ownedReference,ownedReference,Definition,ReferenceUsage,No,No,,Definition_ownedUsage,<p>The <code>ReferenceUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedRendering,https://www.omg.org/spec/SysML#Definition_ownedRendering,ownedRendering,Definition,RenderingUsage,No,No,,Definition_ownedPart,<p>The <code>RenderingUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedRequirement,https://www.omg.org/spec/SysML#Definition_ownedRequirement,ownedRequirement,Definition,RequirementUsage,No,No,,Definition_ownedConstraint,<p>The <code>RequirementUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedState,https://www.omg.org/spec/SysML#Definition_ownedState,ownedState,Definition,StateUsage,No,No,,Definition_ownedAction,<p>The <code>StateUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedTransition,https://www.omg.org/spec/SysML#Definition_ownedTransition,ownedTransition,Definition,TransitionUsage,No,No,,Definition_ownedUsage,<p>The <code>TransitionUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedUsage,https://www.omg.org/spec/SysML#Definition_ownedUsage,ownedUsage,Definition,Usage,No,No,,Definition_usage | Type_ownedFeature,<p>The <code>Usages</code> that are <code>ownedFeatures</code> of this <code>Definition</code>.</p>
Definition_ownedUseCase,https://www.omg.org/spec/SysML#Definition_ownedUseCase,ownedUseCase,Definition,UseCaseUsage,No,No,,Definition_ownedCase,<p>The <code>UseCaseUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedVerificationCase,https://www.omg.org/spec/SysML#Definition_ownedVerificationCase,ownedVerificationCase,Definition,VerificationCaseUsage,No,No,,Definition_ownedCase,<p>The <code>VerificationCaseUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
